model,total
아디다스 x 웨일스 보너 SL76 옐로우 코어 블랙,733
(W) 아디다스 가젤 볼드 클리어 스카이 화이트,282
(W) 나이키 코르테즈 골지 그린 앤 말라카이트,189
아식스 조그 100 S SMU 글레이셔 그레이 퓨어 실버 - 2E 와이드,319
아식스 젤 벤쳐 6 SPS 글레이셔 그레이,934
나이키 줌 보메로 5 라이트 본 앤 블랙,3869
나이키 에어포스 1 '07 프레쉬 화이트,6259
아식스 젤 카야노 14 화이트 말라카이트 그린,2351
아식스 라이프워커 101 블랙 차콜 그레이 - 3E 와이드,241
(W) 나이키 에어포스 1 '07 카카오 와우,2304
아디다스 이지 폼 러너 카본,2078
나이키 덩크 로우 레트로 넥스트 네이쳐 바로크 브라운 화이트,787
나이키 이니시에이터 메탈릭 실버 블랙,4222
아식스 x 언어펙티드 젤 카야노 14 실버 문,1261
나이키 x 톰 삭스 제너럴 퍼포즈 슈 브라운,1714
뉴발란스 574 레거시 블랙 앙고라,1722
(W) 킨 재스퍼 캔버스 스니커즈 내츄럴 블랙 올리브,212
아디다스 스페지알 핸드볼 스칼렛 클라우드 화이트,175
우포스 x 타카히로미야시타 더 솔로이스트 더 데이 더 홀 월드 웬 어웨이 클로그 블랙,47
오니츠카 타이거 멕시코 66 화이트 실버,5681
(W) 나이키 줌 보메로 5 오트밀,899
크록스 바야 클로그 화이트,2485
나이키 덩크 로우 레트로 울프 그레이,3214
닥터마틴 마일즈 샌들 블랙,402
나이키 에어포스 1 '07 프레쉬 블랙,4540
나이키 줌 머큐리얼 베이퍼 15 프로 TF 레몬에이드 블랙,1349
나이키 에어포스 1 '07 LX 오일 그린,2567
(W) 나이키 덩크 로우 프리미엄 미드나잇 네이비 앤 화이트,1773
나이키 x 스투시 에어 페니 2 블랙,12203
아디다스 슈퍼스타 82 오프 화이트 다크 그린,10412
나이키 x 톰 삭스 제너럴 퍼포즈 슈 라이트 크림,1098
아디다스 슈퍼스타 82 화이트 블랙,9366
(W) 나이키 코르테즈 SE 밸런타인데이 세일 어도비,55
나이키 줌X 베이퍼플라이 넥스트% 3 하이퍼 핑크,2621
호카 호파라 쉬프팅 샌드 듄,126
(W) 아디다스 가젤 볼드 코어 블랙 클라우드 화이트,544
아디다스 아딜렛 22 카본,44
살로몬 XT-윙스 2 ADV 블랙,433
나이키 에어 줌 페가수스 40 플래티넘 틴트 화이트,2939
(W) 나이키 이니시에이터 메탈릭 실버 아이스 블루,22
아식스 x 아트모스 x 오호스 젤 1130 RE 글레이셔 그레이 퓨어 실버,289
뉴발란스 574 레거시 블랙,1615
반스 볼트 OG 어센틱 LX 레드,555
뉴발란스 860v2 메탈릭 실버,100
(W) 나이키 코르테즈 블랙 앤 세일,678
크록스 듀엣 맥스 II 클로그 스투코,106
아디다스 스페지알 핸드볼 코어 블랙 화이트,534
